time,bpm
20:41:00,8.2
20:42:00,6.2
20:43:00,7.3
20:44:00,6.3
20:45:00,6.3
20:46:00,6.4
20:47:00,6.3
20:48:00,11.4
20:49:00,5.9
20:50:00,6.2
20:51:00,8.5
20:52:00,9.0
20:53:00,9.0
20:54:00,9.2
20:55:00,8.4
20:56:00,10.2
20:57:00,12.0
20:58:00,11.9
20:59:00,12.0
21:00:00,8.4
21:01:00,12.9
21:02:00,7.4
21:03:00,7.8
21:04:00,7.6
21:05:00,6.1
21:06:00,10.1
21:07:00,15.0
21:08:00,15.0
21:09:00,15.0
21:10:00,6.6
21:11:00,7.6
21:12:00,15.1
21:13:00,7.5
21:14:00,6.5
21:15:00,6.7
21:16:00,13.1
21:17:00,6.3
21:18:00,9.1
21:19:00,12.1
21:20:00,14.9
21:21:00,7.6
21:22:00,7.5
21:23:00,3.9
21:24:00,7.5
21:25:00,7.5
21:26:00,6.8
21:27:00,7.8
21:28:00,9.2
21:29:00,7.3
21:30:00,6.9
21:31:00,6.9
